[message-bus-kafka-emulator] 2026/06/13 21:51:33.998792 [INFO] Инициализация шины данных оффлайн-логов Message Bus (Apache Kafka Go Emulator)...
[message-bus-kafka-emulator] 2026/06/13 21:51:34.040235 [INFO] gRPC Kafka-Шина данных успешно запущена на :9092
[message-bus-kafka-emulator] 2026/06/13 21:51:39.481175 [INFO] Получен системный сигнал ядра Linux [interrupt]. Инициирован Graceful Shutdown...
[message-bus-kafka-emulator] 2026/06/13 21:51:39.485247 [INFO] Все сетевые сокеты и gRPC соединения успешно закрыты. Сервер остановлен штатно.
[message-bus-kafka-emulator] 2026/06/14 11:00:12.304081 [INFO] Инициализация шины данных оффлайн-логов Message Bus (Apache Kafka Go Emulator)...
[message-bus-kafka-emulator] 2026/06/14 11:00:12.309265 [INFO] gRPC Kafka-Шина данных успешно запущена на :9092
[message-bus-kafka-emulator] 2026/06/14 11:00:58.615405 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:24.959303 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:25.274156 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:26.812048 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:26.917131 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:27.826196 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:28.080622 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:29.123351 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:29.245782 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:30.923948 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:31.018982 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:32.518279 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:32.546727 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:33.662546 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:33.986519 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:35.888836 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:37.336030 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:37.552174 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:38.801757 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:38.935306 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:40.383011 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:40.744171 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:41.398267 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:42.218913 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:42.946741 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:43.567815 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:44.511459 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:44.618368 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:45.698656 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:46.559859 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:47.594876 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:48.266007 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:48.856781 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:49.646320 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:49.987640 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:50.988224 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:51.542031 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:52.422086 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:53.461798 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:53.619124 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:55.212428 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:55.371714 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:56.964501 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:57.366329 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:58.898244 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:56:59.112026 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:00.747288 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:01.035701 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:01.908125 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:02.305771 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:03.617219 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:03.903701 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:04.907386 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:05.237455 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:06.249279 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:06.400370 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:07.534048 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:08.026464 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:09.422689 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:09.498842 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:10.750087 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:11.269088 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:12.423176 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:13.006153 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:13.867654 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:14.518693 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:15.253801 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:16.167773 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:16.326261 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
[message-bus-kafka-emulator] 2026/06/14 11:57:17.679126 [INFO] RPC SUCCESS [Method: /pb.DiameterGz/StreamCdrLogs] | Latency: 0s | Code: OK
